번호,당첨횟수,확률,누적확률
1,186,0.023577133,0.023577133
2,175,0.022182786,0.045759919
3,183,0.023196856,0.068956775
4,183,0.023196856,0.092153632
5,163,0.020661681,0.112815312
6,180,0.02281658,0.135631893
7,180,0.02281658,0.158448473
8,165,0.020915198,0.179363671
9,143,0.018126505,0.197490176
10,177,0.022436304,0.21992648
11,177,0.022436304,0.242362784
12,191,0.024210927,0.26657371
13,188,0.02383065,0.290404361
14,183,0.023196856,0.313601217
15,173,0.021929269,0.335530485
16,177,0.022436304,0.357966789
17,188,0.02383065,0.381797439
18,183,0.023196856,0.404994296
19,172,0.02180251,0.426796806
20,183,0.023196856,0.449993662
21,175,0.022182786,0.472176448
22,149,0.018887058,0.491063506
23,154,0.019520852,0.510584358
24,181,0.022943339,0.533527697
25,157,0.019901128,0.553428825
26,182,0.023070098,0.576498923
27,187,0.023703891,0.600202814
28,157,0.019901128,0.620103942
29,155,0.019647611,0.639751553
30,175,0.022182786,0.661934339
31,180,0.02281658,0.684750919
32,164,0.02078844,0.705539359
33,189,0.023957409,0.729496768
34,195,0.024717962,0.754214729
35,176,0.022309545,0.776524274
36,175,0.022182786,0.79870706
37,179,0.022689821,0.821396882
38,180,0.02281658,0.844213462
39,177,0.022436304,0.866649765
40,182,0.023070098,0.889719863
41,155,0.019647611,0.909367474
42,167,0.021168716,0.93053619
43,192,0.024337685,0.954873875
44,176,0.022309545,0.97718342
45,180,0.02281658,1
